Date,last_price,return,volatility_weekly,volatility_monthly,volatility_annual,T+1 return,T+3 return,T+5 return,T+10 return
2021-11-08,31.864,0.05140896192173172,0.07240735525881271,0.05134728308691375,0.07107899805943405,30.559,0.08550014208581991,0.07224561403508778,-0.10486540320454618
2021-11-09,30.559,-0.040955310067788075,0.07184308186595123,0.04823439486935799,0.07114641107568935,27.45,-0.09423876460106917,0.046711153479504164,-0.19811871932694558
2021-11-10,27.45,-0.10173762230439487,0.07942752770773559,0.04977563961380137,0.0714865507002469,29.265,-0.08156540296259107,0.03953537936913887,-0.1164749569785345
2021-11-11,29.265,0.06612021857923511,0.07805377048496455,0.05215177526757558,0.0715754989764354,30.785,0.0073955299584409495,0.01580545106579545,-0.004688005172971188
2021-11-12,30.785,0.051939176490688466,0.07347948568742924,0.05249086155471851,0.07161889263522893,31.723,0.1556648451730418,-0.004425056490082957,0.06438733055965651
2021-11-15,31.723,0.0304693844404742,0.07074428340900468,0.050972634368045215,0.07162889376403556,34.469,0.17782333845891007,0.12794921299780748,0.2094385964912282
2021-11-16,34.469,0.08656180058632534,0.07464052449940319,0.054573475067635005,0.0717786238862111,38.85,0.2619782361539711,0.41530054644808745,0.48141086749285034
2021-11-17,38.85,0.12709971278540144,0.036772494499790635,0.06123051966970948,0.07215551278615213,36.666,0.15581754562935402,0.25289595079446414,0.3024296675191813
2021-11-18,36.666,-0.05621621621621631,0.06878886550788312,0.06244243417123416,0.07222127338585492,36.096,0.04720183353157892,0.17251908396946547,0.19105127697485624
2021-11-19,36.096,-0.015545737195221787,0.07422160738441379,0.0625315365335046,0.07222591486392094,34.144,-0.12113256113256121,0.07631686788765246,0.07155410494602044
2021-11-22,34.144,-0.05407801418439717,0.08430765395135244,0.06305764939358972,0.07230055300429676,34.009,-0.0724649539082528,-0.013345324784589052,0.1128963644098302
2021-11-23,34.009,-0.003953842549203279,0.0749914707777789,0.06287392104091047,0.07221363430473925,35.987,-0.003019725177304866,-0.07369369369369372,0.31100182149362476
2021-11-24,35.987,0.05816107500955625,0.046632762885422535,0.06400419609927295,0.07227626313175817,35.315,0.03429592314901586,-0.03684612447499047,0.20673159063727997
2021-11-25,35.315,-0.018673409842443256,0.0408678255685019,0.0642030217372435,0.07220160885322828,35.25,0.036490340792143305,-0.02343749999999989,0.1450381679389312
2021-11-26,35.25,-0.0018405776582188782,0.04059480057005392,0.0636947415420089,0.07220362624867353,36.23,0.006752438380526193,0.061094189315838765,0.14207357437821133
2021-11-29,36.23,0.027801418439716175,0.03068805802087257,0.06172144593470465,0.07216023583839777,37.226,0.054112983151635374,0.09459260783910128,0.07998491398067831
2021-11-30,37.226,0.02749102953353577,0.02973179581051853,0.060922315737223794,0.07215236722261698,35.192,-0.0016453900709220148,-0.022091310751104598,-0.09415701415701416
2021-12-01,35.192,-0.054639230645247894,0.03459521289307243,0.06146793911634461,0.0722654828592266,34.794,-0.03963566105437488,-0.014752937845108338,-0.05105547373588615
2021-12-02,34.794,-0.01130938849738583,0.033963868101363134,0.05808182744524623,0.0722649469776369,34.181,-0.08179766829635204,-0.030326241134751797,-0.053052969858155996
2021-12-03,34.181,-0.017617980111513498,0.03461405445350904,0.05689716036847883,0.07228267061336234,33.226,-0.0558649693112071,-0.0829147115650013,-0.026886129334582898
2021-12-06,33.226,-0.02793949855182698,0.029784253229163716,0.05541240578517684,0.07231563298755572,34.25,-0.015634879576938432,-0.07994412507387305,0.007086359493075456
2021-12-07,34.25,0.030819237946186684,0.031032676943037137,0.05474383730024014,0.07231388265269946,34.573,0.01146835961499093,-0.017589224823823635,-0.03929196654347411
2021-12-08,34.573,0.009430656934306558,0.023465128568611215,0.0537304420421464,0.07220946244955341,34.729,0.0452356588214049,-0.0018681381847444056,-0.016593515503327105
2021-12-09,34.729,0.004512191594596926,0.02318407246135343,0.04760771806911897,0.07219818802054552,34.897,0.018890510948905037,0.020947309909013834,-0.010014184397163173
2021-12-10,34.897,0.004837455728641693,0.021031569424535174,0.04599556354565053,0.07199173765694547,38.65,0.1179243918664854,0.1632456509962077,0.066795473364615
2021-12-13,38.65,0.10754506118004414,0.043902102678572544,0.04999397496645611,0.0719344970573706,39.021,0.12358547611506232,0.1392992700729927,0.04821898672970515
